
  VB-FLEET PRIOR · 310 IWM sessions · faithful RISK/gate · tp/−30 LOCK · real NBBO
                spec     n   exp/t     total  win      Mar26  AprMay    MA25     T24    CMix  +wins
         vwap-revert  3201   -23.9   -$76431   54       -0.3   -22.7   -25.8   -32.1   -25.2    0/5
          rsi-revert   336   -20.8    -$6993   55      -12.9   -25.9   -31.5   +14.8   -24.6    1/5
         level-break  1192   -25.3   -$30178   47      -38.3   -22.3   -22.1   -12.8   -33.3    0/5
             or-fail   257   -15.7    -$4029   56       -4.0   -10.2    -8.5   -15.7   -25.3    0/5
          macd-state  1350   -33.1   -$44651   44      -45.0   -32.6   -22.6   -39.1   -34.1    0/5
       curl-reversal  1909   -26.6   -$50772   50      -57.1   -37.8   -23.0   -18.9   -21.2    0/5
       squeeze-break  1094   -25.8   -$28212   44      -25.5   -24.6   -28.2   -27.0   -24.3    0/5
            pm-trend  1512   -25.2   -$38028   44      -42.5   -18.1   -21.3   -28.8   -23.3    0/5
           gap-drift  1012   -15.3   -$15463   50      -15.0    +3.9   -15.3   -26.0   -14.2    1/5
        ribbon-cross   411   -28.1   -$11566   45      -41.0   -19.4   -11.7   -17.3   -45.3    0/5

  PRIOR ONLY — modeled fills where NBBO thins; 10 specs = multiple comparisons; nothing armable from this (registry A8).

